Lead Name,Website,Website Available,Phone,Lead Score,Priority,Rating,Source,Location,Industry,Recommended Services,Service Opportunity Score,Email,Founder Name,Social Media
AMBIKA REAL ESTATE,http://ambikarealestate.com/,Yes,+91 98450 50925,87,High,4.9,SerpAPI,"1st Floor, Sri Ranganatha Nilaya, Dr.No: 4M/25/4 4th cross, Kavoor Rd, Karnataka Housing Board Colony, Mangaluru, Karnataka 575015, India",real estate companies,"Website Revamp, Mobile App Development, Digital Marketing, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development",75.0,,,
Proplinks Properties Pvt Ltd,http://proplinks.co.in/,Yes,+91 97417 35307,69,Medium,5.0,SerpAPI,"2nd FLOOR, PLAMA CENTER BUILDING, Bejai - Kapikad Rd, behind BHARATH MALL, Bejai, Mangaluru, Karnataka 575004, India",real estate companies,"Mobile App Development, Digital Marketing, SSL / Security, Analytics Integration",38.0,,,
Talentcruise Real Estate and Marketing - Real Estate Agents in Mangalore,https://talentcruisetech.com/real-estate-marketing/,Yes,+91 72046 81084,58,Low,5.0,SerpAPI,"2nd Floor, VGB Complex, above Canara Bank, Ladyhill, Mangaluru, Karnataka 575006, India",real estate companies,"Cloud Services, E-Commerce Development",15.0,,,
Somayaji Estates Pvt. Ltd.,http://www.somayajiestates.com/,Yes,+91 99724 40868,63,Medium,4.5,SerpAPI,"6th floor, Essel Tower , Bunts hostel Circle, KRR Road, Mangaluru, Karnataka 575003, India",real estate companies,"Mobile App Development, CRM / HRM Software, Cloud Services, E-Commerce Development",35.0,,,
VAJRA REALTIES,http://www.vajrarealties.com/,Yes,+91 97417 35307,66,Medium,4.8,SerpAPI,"2nd FLOOR, VRPR+XFH, PLAMA CENTER BUILDING, Bejai - Kapikad Rd, Bejai, Mangaluru, Karnataka 575004, India",real estate companies,"Mobile App Development, SSL / Security, Cloud Services, E-Commerce Development",36.0,,,
Roof 360 Real Estate and Properties,http://www.roof360.in/,Yes,+91 98450 22178,75,Medium,4.9,SerpAPI,"No. 68/1, 2nd Floor, Coles Rd, Cleveland Town, Fraser Town, Bengaluru, Karnataka 560005, India",real estate compnaies,"Mobile App Development, SSL / Security, AI Chatbot / CRM, CRM / HRM Software, Analytics Integration, E-Commerce Development",52.0,,,
The Bangalore Real Estate Co.,http://www.blrrealestate.com/,Yes,+91 80 4945 7777,62,Low,4.8,SerpAPI,"Ste 2B, Redifice Signature, 6, Bowring Hospital Rd, Tasker Town, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India",real estate compnaies,"Mobile App Development, AI Chatbot / CRM, Analytics Integration",27.0,,,
BrokerInBlue - Professional Real Estate Brokers,https://brokerinblue.com/,Yes,+91 77609 47777,61,Low,4.7,SerpAPI,"#82, 80 Feet Rd, KGE Layout, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094, India",real estate compnaies,"Mobile App Development, AI Chatbot / CRM, E-Commerce Development",28.0,,,
Friendly Realtors and Property Management,https://www.friendlyrealtors.in/,Yes,+91 70222 72980,62,Low,4.8,SerpAPI,"19/8, Davis Rd, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560084, India",real estate compnaies,"Mobile App Development, Digital Marketing, Analytics Integration",29.0,,,
Agarwal Estates,https://agarwalestates.com/,Yes,+91 70900 11220,56,Low,4.6,SerpAPI,"No.9, CRM Soubhagya Annexe, #35, 1B, Varthur Main Rd, near Spice Garden, Lakshminarayana Pura, Marathahalli, Bengaluru, Karnataka 560037, India",real estate compnaies,"Mobile App Development, E-Commerce Development",19.0,,,
Visanka Technologies Pvt Ltd,https://www.visankatechnologies.com/,Yes,+91 70100 95990,56,Low,4.8,SerpAPI,"135A,1st Floor, CRBS Complex, Swamy Naicken St, Chintadripet, Chennai, Tamil Nadu 600002, India",information technology companies,"AI Chatbot / CRM, E-Commerce Development",17.0,sales@visankatechnologies.com,,
IT Atmoz Information Technology Pvt Ltd,http://itatmoz.com/,Yes,,71,Medium,4.9,SerpAPI,"27/32 Amirunisa Begum Street, Chennai-02, Mount Road, Chennai, Tamil Nadu 600002, India",information technology companies,"Website Revamp, AI Chatbot / CRM, Cloud Services, Analytics Integration, E-Commerce Development",45.0,sales@itatmoz.com,,
Muviereck Technologies Private Limited,https://www.muvierecktech.com/,Yes,,48,Low,4.8,SerpAPI,"Old 364/4, New 641/4, Ground Floor, Poonamallee High Rd, Aminjikarai, Chennai, Tamil Nadu 600030, India",information technology companies,None Identified,0.0,info@muvierecktech.com,,
Hi-Tech Company Software Solutions (Chennai) Private Limited,http://www.htssindia.in/,Yes,+91 44 2834 4782,62,Medium,4.1,SerpAPI,"4, 4th Street, Bharathy Nagar, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017, India",information technology companies,"Digital Marketing, AI Chatbot / CRM, Cloud Services, Analytics Integration, E-Commerce Development",42.0,,,
Fusiontec Software,http://fusiontec.com/,Yes,+91 98416 99962,64,Medium,4.9,SerpAPI,"A, 2nd Floor, Crescent Court Building, Fusiontec Software Suite No 17, 963, Poonamallee High Rd, Chennai, Tamil Nadu 600084, India",information technology companies,"Mobile App Development, SSL / Security, AI Chatbot / CRM",30.0,sales@fusiontec.com,,
McKayne Technologies,http://www.mckayne.com/,Yes,+91 94475 20016,58,Low,5.0,SerpAPI,"Spencer Plaza Mall, G 194, 3rd Phase, Ground floor, Spencer Plaza 5, 6, 7, 8 and 9th floor, 769, 3, Anna Salai, Triplicane, Chennai, Tamil Nadu 600002, India",information technology companies,"AI Chatbot / CRM, E-Commerce Development",17.0,develop@mckayne.com,,
zynofus technologies private limited,http://zynofus.com/,Yes,+91 73053 67182,64,Medium,4.8,SerpAPI,"1st Floor, Sundar Bans, No. 70/16A, near to Gokulam Park, Ashok Nagar, Chennai, Tamil Nadu 600083, India",information technology companies,"Mobile App Development, Cloud Services, Analytics Integration, E-Commerce Development",33.0,hr@zynofus.com,,
"Vedha Technologies, Chennai",http://www.vedha.in/,Yes,+91 44 4217 8071,62,Medium,4.0,SerpAPI,"Hotel Association, 26, Venkatesan St, near Chennai, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017, India",information technology companies,"Digital Marketing, SSL / Security, AI Chatbot / CRM, Analytics Integration, E-Commerce Development",44.0,,,
Techzarinfo,https://www.techzarinfo.com/,Yes,,52,Low,4.4,SerpAPI,"No: 34, Rakshan, Block-A, Sengalani Amman St, IIT Colony, Kamakoti Nagar, Pallikaranai, Chennai, Greater Chennai, Tamil Nadu 600100, India",information technology companies,"AI Chatbot / CRM, E-Commerce Development",17.0,sales@techzarinfo.com,,
CodeTez,https://www.codetez.com/,Yes,+91 99520 74904,53,Low,4.9,SerpAPI,"No 122, S-2, 2nd Floor, 15th Avenue, Jawaharlal Nehru Salai, Ashok Nagar, Chennai, Tamil Nadu 600083, India",information technology companies,Cloud Services,8.0,,,
Zenelait info tech,https://zenelaitinfotech.com/,Yes,+91 98842 64816,78,High,4.4,SerpAPI,"1st Main St, Y Block, Anna Nagar, Chennai, Greater Chennai, Tamil Nadu 600040, India",information technology companies,"Website Revamp, Mobile App Development, Digital Marketing, AI Chatbot / CRM, Cloud Services, Analytics Integration, E-Commerce Development",68.0,,,
Sysind Tech Private Limited,http://www.sysindtech.com/,Yes,+91 99400 46982,82,High,5.0,SerpAPI,"pudupet garden street No.9, First Floor, Chennai, Tamil Nadu 600044, India",information technology companies,"Mobile App Development, Digital Marketing, SSL / Security, AI Chatbot / CRM, Cloud Services, Analytics Integration, E-Commerce Development",63.0,,,
Qbrik Information Technologies,https://qbrik.in/,Yes,+91 44 4255 5570,74,Medium,4.6,SerpAPI,"No.152, 2nd Floor, Ganesh Towers, Luz Church Rd, CIT Colony, Mylapore, Chennai, Greater Chennai, Tamil Nadu 600004, India",information technology companies,"Mobile App Development, Digital Marketing, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, E-Commerce Development",55.0,info@qbrik.in,,
TenthPlanet Technologies Private Limited,https://tenthplanet.in/,Yes,,52,Low,4.2,SerpAPI,"6th Floor, PT Lee Building, 807, Anna Salai, Chennai, Tamil Nadu 600002, India",information technology companies,"Mobile App Development, Cloud Services",19.0,info@tenthplanet.in,,
NOHITATU Technologies private limited,http://www.nohitatu.com/?utm_source=GMB,Yes,+91 99413 33444,46,Low,3.8,SerpAPI,"No. 402, 4th floor, Purasaivakkam High Rd, Lumbini Square, Purasaiwakkam, Chennai, Greater Chennai, Tamil Nadu 600010, India",information technology companies,"Cloud Services, E-Commerce Development",15.0,info@nohitatu.com,,
Bhive Technologies,https://bhivetechnologies.in/,Yes,+91 94980 51336,54,Low,5.0,SerpAPI,"Second Floor, No 32, 6th West Cross St, Shenoy Nagar West, Bharathi Puram, Shenoy Nagar, Chennai, Greater Chennai, Tamil Nadu 600030, India",information technology companies,Cloud Services,8.0,info@bhivetechnologies.in,,
CEI India Pvt Ltd | IT Services & Software Company | Chennai,https://www.ceiamerica.com/,Yes,+91 44 4221 0500,54,Low,4.4,SerpAPI,"27, Akshaya Shanthi 44, 44, Anna Salai, Border Thottam, Padupakkam, Triplicane, Chennai, Greater Chennai, Tamil Nadu 600002, India",information technology companies,"Mobile App Development, E-Commerce Development",19.0,,,
Rayafeel Technologies Private Limited,http://rayafeel.com/,Yes,+91 88389 53252,60,Low,5.0,SerpAPI,"S102, 2nd floor, Phase-3, Spencer Plaza Mall, WS-02, Anna Salai, Chennai, Greater Chennai, Tamil Nadu 600002, India",information technology companies,"Mobile App Development, Cloud Services",19.0,info@rayafeel.com,,
Smarther Technologies,http://www.smarther.co/,Yes,+91 90031 62488,49,Low,4.9,SerpAPI,"87, First Main Rd, Radha Nagar, Perumbakkam, Chennai, Perumbakkam, Tamil Nadu 600100, India",information technology companies,None Identified,0.0,info@smarther.co,,
Inspace Technologies Private Limited,https://www.inspacetech.com/,Yes,,59,Low,4.5,SerpAPI,"AA Business Centre, Fourth Floor, Old Door No.94/1 & 2 New No.27 and 28, E Park Rd, Shenoy Nagar, Chennai, Tamil Nadu 600030, India",information technology companies,"Mobile App Development, AI Chatbot / CRM, E-Commerce Development",28.0,info@inspacetech.com,,
Ninestars Information Technologies Pvt. Ltd.,https://www.ninestarsglobal.com/,Yes,+91 44 6125 5100,69,High,3.8,SerpAPI,"756, Vasan Ave, Anna Salai, Chennai, Greater Chennai, Tamil Nadu 600002, India",information technology companies,"Website Revamp, Mobile App Development, Digital Marketing, AI Chatbot / CRM, Cloud Services, E-Commerce Development",62.0,,,
SQUARES INFORMATION TECHNOLOGY PRIVATE LIMITED,http://www.buybooma.in/,Yes,+91 44 4860 6625,69,Medium,5.0,SerpAPI,"No-71,73,2nd Floor, CIT 1st Main Rd, CIT Nagar West, Nandanam, Chennai, Tamil Nadu 600035, India",information technology companies,"Mobile App Development, Digital Marketing, SSL / Security, Analytics Integration",38.0,,,
ifelse Technologies,https://ifelsetech.com/,Yes,+91 98848 99868,52,Low,4.6,SerpAPI,"16/4, Salai St, Periyamedu, Choolai, Chennai, Greater Chennai, Tamil Nadu 600007, India",information technology companies,Mobile App Development,12.0,,,
GATEWAY SOFTWARE SOLUTIONS,https://www.gatewaysoftwaresolutions.com/,Yes,+91 73970 78885,60,Low,4.8,SerpAPI,"1st Floor, Old No:57/62, New No:111, Wallahjah Rd, above KFC, Ellis Puram, Anna Salai, Triplicane, Chennai, Greater Chennai, Tamil Nadu 600002, India",information technology companies,"AI Chatbot / CRM, Analytics Integration, E-Commerce Development",23.0,,,
BitCot Technologies,https://www.bitcot.com/,Yes,+91 44 4233 7803,39,Low,3.9,SerpAPI,"2nd Floor, S.P Complex, 36, Wall Tax Rd, Peddanaickenpet, George Town, Chennai, Greater Chennai, Tamil Nadu 600079, India",information technology companies,None Identified,0.0,support@bitcot.com,,
Nexbase Information Technologies,https://www.nexbase.in/,Yes,+91 99400 49737,54,Low,4.0,SerpAPI,"34,1st Cross Street, Jafferkhanpet, Ganga Nagar, Ashok Nagar, Chennai, Tamil Nadu 600083, India",information technology companies,"Mobile App Development, Digital Marketing, Analytics Integration",29.0,,,
Ninos IT,https://www.ninositsolution.com/,Yes,+91 99624 11492,47,Low,4.7,SerpAPI,"Shop No:9, Basement Floor, Raahat Plaza, Arcot Rd, Ottagapalayam, Kannika Puram, Vadapalani, Chennai, Greater Chennai, Tamil Nadu 600026, India",information technology companies,None Identified,0.0,info@ninositsolution.com,,
THAY Technologies Private Limited,https://thaytech.com/,Yes,+91 63804 54663,71,Medium,4.6,SerpAPI,"Plot 897, 10th St, H Block, Anna Nagar, Anna Nagar West, Anna Nagar West Extension, Chennai, Greater Chennai, Tamil Nadu 600040, India",information technology companies,"Mobile App Development, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development",50.0,hr@thaytech.com,,
Hectadata India Technology Consulting Pvt Ltd,https://hectadata.in/,Yes,+91 44 4228 7700,81,High,4.3,SerpAPI,"1st Floor, Kubers"", Annex, No: 42, Pantheon Rd 2nd Ln, Egmore, Chennai, Greater Chennai, Tamil Nadu 600008, India",information technology companies,"Website Revamp, Mobile App Development, Digital Marketing, AI Chatbot / CRM, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development",75.0,,,
M S INFO TECHNOLOGIES,http://www.msinfotechnologies.com/,Yes,,82,High,4.9,SerpAPI,,information technology companies,"Website Revamp, Mobile App Development, Digital Marketing, CRM / HRM Software, Cloud Services, Analytics Integration, E-Commerce Development",66.0,,,
HyFe Technologies,https://hyfetech.com/,Yes,+91 96772 50842,61,Low,4.9,SerpAPI,"9th floor, 345, Pantheon Rd, Egmore, Chennai, Greater Chennai, Tamil Nadu 600008, India",information technology companies,"AI Chatbot / CRM, Cloud Services, E-Commerce Development",25.0,sales@hyfetech.com,,
NLabs Technology,http://www.nlabstech.in/,Yes,+91 97104 59515,54,Low,5.0,SerpAPI,"No. 43/3, Old No. 22/3, New, Venkatachalam St, near Saravana Store Furniture, Purasaiwakkam, Chennai, Tamil Nadu 600007, India",information technology companies,AI Chatbot / CRM,9.0,Support@NLabsTech.in,,
IStrides,http://istrides.in/,Yes,+91 63803 72621,60,Medium,4.1,SerpAPI,"23/38, Westcott Rd, Royapettah, Chennai, Greater Chennai, Tamil Nadu 600014, India",information technology companies,"Mobile App Development, Digital Marketing, SSL / Security, Analytics Integration",38.0,,,
BOTREE SOFTWARE INTERNATIONAL PVT LTD,https://botreesoftware.com/,Yes,+91 44 2855 1591,56,Low,4.2,SerpAPI,"WSS Towers, No.107 & 108, Adithanar Rd, Chennai, Tamil Nadu 600002, India",information technology companies,"Mobile App Development, Digital Marketing, Analytics Integration",29.0,,,
Digispoc Technology,https://digispoc.com/,Yes,+91 95663 10990,59,Low,4.9,SerpAPI,"1A, 1st floor, Mount Chambers, No 758, Vasan Ave, Anna Salai, Chennai, Greater Chennai, Tamil Nadu 600002, India",information technology companies,"Mobile App Development, AI Chatbot / CRM",21.0,,,
CODEHUNTERS,https://codehunters.co.in/,Yes,+91 90952 41578,60,Low,4.8,SerpAPI,,information technology companies,"AI Chatbot / CRM, Cloud Services, Analytics Integration",23.0,codehunters2020@gmail.com,,
Ideas2IT Technology Services Private Limited,https://www.ideas2it.com/,Yes,+91 93618 03053,51,Low,4.1,SerpAPI,"C50 & C51, Water Works Rd, Thiru Vi Ka Industrial Estate, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",information technology companies,"Mobile App Development, E-Commerce Development",19.0,,,
ProdEx Technologies Private Limited,https://www.prodex.in/,Yes,+91 44 2811 3640,62,Medium,4.4,SerpAPI,"I Floor, Laxmi Towers, 47, Dr Radha Krishnan Salai, Dwarka Colony, Mylapore, Chennai, Greater Chennai, Tamil Nadu 600004, India",information technology companies,"Mobile App Development, AI Chatbot / CRM, Cloud Services, E-Commerce Development",36.0,info@ prodex.in,,
Bocxy Technologies Private Limited.,https://bocxy.com/,Yes,+91 97878 97873,64,Low,5.0,SerpAPI,"3rd Floor, Bhattad Towers, 18, Westcott Rd, Indira Garden, Royapettah, Chennai, Greater Chennai, Tamil Nadu 600014, India",information technology companies,"Mobile App Development, Digital Marketing, Analytics Integration",29.0,,,
Blivemi Information Technology,https://blivemi.com/,Yes,+91 431 356 9842,64,Low,5.0,SerpAPI,"3 Floor, Metro, Altius Block, OLYMPIA TECHNOLOGY PARK, D15, Main Rd, SIDCO Industrial Estate, Alandur, Chennai, Greater Chennai, Tamil Nadu 600032, India",information technology companies,"Mobile App Development, Digital Marketing, Analytics Integration",29.0,,,
Mindstay Technology Pvt.Ltd Chennai,,No,,92,High,5.0,SerpAPI,"Tower, 2B, 3rd floor, Montieth Court, 21, Red Cross Rd, Egmore, Chennai, Greater Chennai, Tamil Nadu 600008, India",information technology companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM",85.0,,,
Fieldy Technologies,https://getfieldy.com/,Yes,+91 98847 83216,60,Low,4.8,SerpAPI,"9B, Sapna Trade Centre, 135, Poonamallee High Rd, Egmore, Chennai, Greater Chennai, Tamil Nadu 600084, India",information technology companies,"AI Chatbot / CRM, Cloud Services, E-Commerce Development",25.0,support@getfieldy.com,,
GENESIS TECH,https://www.genesistech.in/,Yes,+91 73396 63589,62,Low,5.0,SerpAPI,"Park Circle Building, 20/8, Moores Rd, off College Road, Thousand Lights West, Thousand Lights, Chennai, Greater Chennai, Tamil Nadu 600006, India",information technology companies,"AI Chatbot / CRM, Analytics Integration, E-Commerce Development",23.0,info@genesistech.in,,
"Rinsoft Pvt Ltd, Chennai",http://www.rinsoft.com/,Yes,+91 3108 183 781,68,Medium,4.5,SerpAPI,"Second floor, New No.113,Old No.56/1,Sri Amman Complex, Arunachallam St, Chintadripet, Chennai, Tamil Nadu 600002, India",information technology companies,"Mobile App Development, Digital Marketing, SSL / Security, Analytics Integration, E-Commerce Development",46.0,info@rinsoft.com,,
Greens Technologies,https://www.greenstechnologys.com/,Yes,+91 89399 15591,63,Medium,4.7,SerpAPI,"Ground floor, New No. W125, Old W42, 3rd Ave, W Block, Anna Nagar, Chennai, Greater Chennai, Tamil Nadu 600040, India",information technology companies,"Website Revamp, AI Chatbot / CRM, E-Commerce Development",31.0,contact@greenstechnologys.com,,
Calypso Technology,http://calypsotechno.com/,Yes,,62,Medium,4.3,SerpAPI,"2nd Floor, Seethakathi Business Centre, Thousand Lights East, Thousand Lights, Chennai, Greater Chennai, Tamil Nadu 600006, India",information technology companies,"Mobile App Development, Digital Marketing, SSL / Security, Analytics Integration",38.0,,,
Burhani Technologies,http://www.burhanitechnologies.com/,Yes,+91 72990 02152,62,Low,4.8,SerpAPI,"1st Floor, Vanguard House, #48, Moore St, Parry's Corner, George Town, Chennai, Greater Chennai, Tamil Nadu 600001, India",information technology companies,"Mobile App Development, AI Chatbot / CRM, E-Commerce Development",28.0,info@burhanitechnologies.com,,
NOORYAK TECHNOLOGIES,https://nooryak.com/,Yes,+91 63749 13298,64,Low,5.0,SerpAPI,"Floor 1, Door, Shafi Tower, Khana Bagh Street, Triplicane, Chennai, Tamil Nadu 600005, India",information technology companies,"Mobile App Development, Digital Marketing, Analytics Integration",29.0,,,
"Internship in Chennai for CSE, IT, CE, EEE, Biotechnology, biomedical |MBA, BCom,",,No,+91 80561 88927,89,High,4.7,SerpAPI,"Number 1, A.J. Block 1st St, near Velu Militry Hotel, near U.N.IQ. Technologies2, Bharathy Nagar, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017, India",information technology companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM",85.0,,,
Niraj Infotek ( Infotech ),https://nirajinfo.in/,Yes,+91 97909 36229,68,Medium,5.0,SerpAPI,"1st Floor, No.8, Nambi Trade Center, Narasingapuram St, Mount Road, Chennai, Tamil Nadu 600002, India",information technology companies,"Mobile App Development, AI Chatbot / CRM, Cloud Services, Analytics Integration",35.0,hello@nirajinfo.in,,
ZUBKAS TECHNOLOGY,http://zubkas.com/,Yes,+91 81439 35184,49,Low,4.5,SerpAPI,"7TH FLOOR, Spencer Plaza Mall, 715-A, Anna Salai, Chennai, Greater Chennai, Tamil Nadu 600002, India",information technology companies,Cloud Services,8.0,,,
BCT Consulting Private Limited,https://www.bct-consulting.com/,Yes,+91 98409 93448,53,Low,4.1,SerpAPI,"148, Rajiv Gandhi Salai, Subbarayan Nagar, Thoraipakkam, Chennai, Tamil Nadu 600097, India",information technology companies,"AI Chatbot / CRM, Cloud Services, Analytics Integration",23.0,talktous@bct-consulting.com,,
Patel Soft Technologies,https://www.patelsoft.com/,Yes,+91 91761 84508,64,Low,5.0,SerpAPI,"6th & 7th Floor, EA Chambers Tower II, 49/50L, Whites Rd, Express Estate, Royapettah, Chennai, Greater Chennai, Tamil Nadu 600014, India",information technology companies,"Mobile App Development, Digital Marketing, Analytics Integration",29.0,,,
Pyramidions Solutions,https://www.pyramidions.com/,Yes,+91 99400 15578,47,Low,4.3,SerpAPI,"2nd Floor, Megh Towers, 165, Poonamallee High Rd, Pallavan Nagar, Maduravoyal, Chennai, Greater Chennai, Tamil Nadu 600095, India",information technology companies,Cloud Services,8.0,sales@pyramidions.com,,
IT Career Challenge Technologies Pvt Ltd.,http://itcareerchallenge.com/,Yes,+91 44 3006 5554,78,Medium,5.0,SerpAPI,"Sunshine Building, 339/3, 2nd Ave, G Block, Ranganathan Garden, Anna Nagar, Chennai, Greater Chennai, Tamil Nadu 600040, India",information technology companies,"Mobile App Development, Digital Marketing, SSL / Security, AI Chatbot / CRM, Analytics Integration, E-Commerce Development",55.0,info@itcareerchallenge.com,,
Airavad Web Solutions Private Limited,https://airavadweb.solutions/,Yes,+91 73583 03879,58,Low,4.4,SerpAPI,"12, Jaffar Sarang St, Parrys, George Town, Chennai, Greater Chennai, Tamil Nadu 600001, India",information technology companies,"Mobile App Development, AI Chatbot / CRM, Analytics Integration",27.0,contact@airavadweb.solutions,,
Pupa Clic,https://www.pupaclic.com/,Yes,+91 99402 68251,45,Low,4.5,SerpAPI,"VGP Victory House, G12, Anna Salai, Mount Road, Anna Salai, Triplicane, Chennai, Greater Chennai, Tamil Nadu 600002, India",information technology companies,None Identified,0.0,support@pupaclic.com,,
Triyam Information Technology Private Limited,https://www.triyam.com/,Yes,,52,Low,4.2,SerpAPI,"Level 8, 5th Office Floor, Olympia Cyberspace, Symbyont Smartspaces, 21/22, Arulayiammanpet, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",information technology companies,"Mobile App Development, E-Commerce Development",19.0,,,
IZEON INNOVATIVE PVT LTD,http://www.izeoninnovative.com/,Yes,+91 86376 75438,54,Low,4.2,SerpAPI,"No:66, Chennai City Centre, 3rd, Thirumalai Pillai Rd, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017, India",information technology companies,"AI Chatbot / CRM, Analytics Integration, E-Commerce Development",23.0,info@izeoninnovative.com,,
Tecdata IT Services Pvt Ltd,http://tecdata.in/,Yes,,77,Medium,5.0,SerpAPI,"Old No 3rd Floor, Guna Complex, New Door No, 443 & 445, Anna Salai, Annexure II, Teynampet, Chennai, Tamil Nadu 600018, India",information technology companies,"Mobile App Development, Digital Marketing, AI Chatbot / CRM, Cloud Services, Analytics Integration, E-Commerce Development",54.0,it@tecdata.co.in,,
Chennai Technology,https://www.chennaitechnology.in/,Yes,+91 73053 33444,48,Low,3.4,SerpAPI,"36/33, Clemens Rd, behind Saravana Stores, Purasaiwakkam, Chennai, Greater Chennai, Tamil Nadu 600007, India",information technology companies,"Mobile App Development, Digital Marketing, Analytics Integration",29.0,,,
Techminds Group India Pvt Ltd,,No,,79,High,3.7,SerpAPI,,information technology companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM",85.0,,,
PRS INFOTECH SOLUTIONS,https://www.prsinfotech.in/,Yes,+91 94443 53200,57,Low,4.9,SerpAPI,"70/84, Muthamman Koil St, Gopal Pillai Nagar, Bharathi Nagar, Ayanavaram, Chennai, Greater Chennai, Tamil Nadu 600023, India",information technology companies,"AI Chatbot / CRM, Analytics Integration",15.0,Prsinfotech213@gmail.com,,
Appmetry Technologies LLP,https://appmetry.com/,Yes,+91 98841 85123,53,Low,5.0,SerpAPI,"workhub 7th floor, Fountain Plaza, Pantheon Rd, Egmore, Chennai, Greater Chennai, Tamil Nadu 600008, India",information technology companies,Analytics Integration,6.0,,,
DotSmart Technologies,https://dotsmart.in/,Yes,+91 63807 36858,33,Low,3.3,SerpAPI,"First Floor, OLD NO 30, NEW, 65, Maddox St, Choolai, Chennai, Tamil Nadu 600007, India",information technology companies,None Identified,0.0,contactus@dotsmart.in,,
e Orchids Techsolutions Pvt. Ltd.,https://e-orchids.com/,Yes,+91 98827 98871,55,Low,4.3,SerpAPI,"2, 8th Floor, South Tower, Krm Plaza, Harrington Rd, Chetpet, Chennai, Greater Chennai, Tamil Nadu 600031, India",information technology companies,"AI Chatbot / CRM, Analytics Integration, E-Commerce Development",23.0,,,
Fabten Technologies,http://fabtentech.netlify.app/,Yes,+91 74180 14075,56,Medium,4.0,SerpAPI,"Marble Hall New Building, 118/9, Vepery High Rd, Periamet, Periyamedu, Poongavanapuram, Chennai, Greater Chennai, Tamil Nadu 600003, India",information technology companies,"AI Chatbot / CRM, Cloud Services, Analytics Integration, E-Commerce Development",31.0,fabtentech@gmail.com,,
MASSIVE IT SOLUTIONS,http://www.massiveitsolutions.com/,Yes,+91 98849 59491,50,Low,4.2,SerpAPI,"3rd Floor,Door No:1, Om Sai Plaza, No.75, Thambu Chetty St, Mannadi, George Town, Chennai, Greater Chennai, Tamil Nadu 600001, India",information technology companies,"CRM / HRM Software, Cloud Services",15.0,info@massiveitsolutions.com,,
Hikma InfoTech,https://www.hikmainfotech.in/,Yes,+91 44 4208 4207,60,Low,4.6,SerpAPI,"Vepery High Rd, Periamet, Park Town, Chennai, Greater Chennai, Tamil Nadu 600003, India",information technology companies,"Mobile App Development, Digital Marketing, Analytics Integration",29.0,,,
Digital India Technology,,No,+91 97898 38371,80,High,3.8,SerpAPI,"No.30 First Floor, Sun Square Arcade, Wallers Rd, basement, Chintadripet, Chennai, Greater Chennai, Tamil Nadu 600002, India",information technology companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM",85.0,,,
india Technology,,No,+91 79046 12425,92,High,5.0,SerpAPI,"22/1, Avadi Srinivasa Iyer Street, Thattankulam, Choolai, Chennai, Greater Chennai, Tamil Nadu 600112, India",information technology companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM",85.0,,,
In22labs,https://in22labs.com/,Yes,+91 87789 11772,51,Low,4.7,SerpAPI,"2/7,2/8 & 2/5, 1st St, Lakshimi Colony, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017, India",information technology companies,E-Commerce Development,8.0,info@in22labs.com,,
INSCOMI TECHNOLOGY SERVICES PRIVATE LIMITED(ERP in Chennai),,No,+91 79047 74990,92,High,5.0,SerpAPI,"1, 694/87A, Valayapathi Salai, Block 2, Block 5, Mogappair East, Chennai, Greater Chennai, Tamil Nadu 600037, India",information technology companies,"Web Development, Mobile App Development, Digital Marketing, AI Chatbot / CRM",85.0,,,
KnacK Information Technologies Private Limited,http://knack.co.in/,Yes,+91 44 4210 9486,31,High,0.0,SerpAPI,"No.4, Sambantham St, Devanathan Road, Mandaveli, Chennai, Tamil Nadu 600028, India",information technology companies,"Website Revamp, Mobile App Development, Digital Marketing, SSL / Security, AI Chatbot / CRM, Analytics Integration",62.0,,,
IT Catalyst Software India Pvt Ltd,http://www.itcatalystindia.com/,Yes,+91 80 4911 0110,63,Low,4.9,SerpAPI,"278, MK, Puttalingiah Rd, Padmanabhanagar, Bengaluru, Karnataka 560070, India",it companies,"Mobile App Development, AI Chatbot / CRM, E-Commerce Development",28.0,sales@itcatalystindia.com,Not Found,Not Found
